target_id,mensagem_id,message
90,48,"É quase a mesma coisa cara!\n\nPqp militante, relaxa um pouco!"
90,49,sempre foi kkk se não é religião é culto
90,50,Comentariozinho desnecessário 🙄
90,51,"não, o cuzin pode, só não pode o outro buraco"
90,52,Qual? Nos temos 10
90,53,esse mesmo q vc pensou xD
90,54,"E é notícia falsa, não foi aprovado porcaria nenhuma. \n\nOP está espalhando boatos de canais de fofoca de internet."
90,55,"[vê aqui](https://www.camara.leg.br/propostas-legislativas/346155), falador."
90,56,"> # SITUAÇÃO\n># Aguardando votação na Comissão de Previdência, Assistência Social, Infância, Adolescência e Família\n\nPeça pro seu irmãozinho ler para você, analfabeto."
90,57,"Comissão da câmera, comissão da previdência hmm..hmm..🤣😭"
90,58,"Luz, câmera e ação"
90,59,">#ou seja, alguns já votaram e está passando por etapas, o título está correto caso pesquise, você que confundiu seu analfabeto funcional imoral."
90,60,"Não votaram porcaria nenhuma, analfabeto. Burro!"
90,61,">#O IRMAO, VAMO FICAR CONTRA ELES, MELHOR NOS FICAR EM PAZ, QUERO DORMIR BEM Tendeu CHARÁ, eles ganham 30k POR MES E NOS SOMOS POBRES ORDINÁRIOSSSS"
90,62,">#ALIÁS VáriOS DEPUTADOS JA VOTARAM, SO VOCÊ VER O PLACAR O SITE DA CÂMARA MEU NOBRE, BOA NOITE, FICA EM PAZ ❤️❤️❤️"
90,63,Aprovou ou não aprovou gente?
90,64,[deleted]
90,65,"LEIA O TÍTULO NOVAMENTE, UM Grupo PASSOU A VOTAÇÃO, TEM OUTROS TAMBÉM."
90,66,"entendi, mais um mano caindo na cortina de fumaça"
90,67,">#Seu analfabeto funcional, está em andamento a votação, alguns já votaram seu ANALFABETO FUNCIONAL. ANALFABETO FUNCIONAL NAO SABE LER ESSA MERD# DE TEXTO"
90,68,Muita calma nessa hora
90,69,Não dá pra ter calma com uns usuários do Reddit irmão kk
90,70,achei 200 de QI essa discussão em quote de vocês kkkkk
90,71,Hahahhaa
90,72,Mas você tá bravo?
90,73,Clodovil hernandes autor?? Como assim?
90,74,"É um projeto extremamente antigo que a Câmara tirou da gaveta para fazer joguinho com o STF, só para dizer que \""manda\"" em alguma coisa. Não vai dar em nada."
90,75,[removed]
90,76,"Para não dar views ou ler sem paywall, utilize qualquer um dos seguintes links:  \n**[12ft.io](https://12ft.io/https://valor.globo.com/politica/noticia/2023/10/10/fim-do-casamento-homoafetivo-no-brasil-entenda-discussao-no-congresso.ghtml)** | **[Wayback Machine](https://web.archive.org/web/https://valor.globo.com/politica/noticia/2023/10/10/fim-do-casamento-homoafetivo-no-brasil-entenda-discussao-no-congresso.ghtml)** | **[Archive.today](http://archive.is/newest/https://valor.globo.com/politica/noticia/2023/10/10/fim-do-casamento-homoafetivo-no-brasil-entenda-discussao-no-congresso.ghtml)** | **[Google Cache](https://webcache.googleusercontent.com/search?q=cache:https://valor.globo.com/politica/noticia/2023/10/10/fim-do-casamento-homoafetivo-no-brasil-entenda-discussao-no-congresso.ghtml)**  \n*^(Apoie o jornalismo brasileiro, [assine o jornal](https://valor.globo.com/politica/noticia/2023/10/10/fim-do-casamento-homoafetivo-no-brasil-entenda-discussao-no-congresso.ghtml).)*\n\n\n*I am a bot, and this action was performed automatically. Please [contact the moderators of this subreddit](/message/compose/?to=/r/brasilivre) if you have any questions or concerns.*"
90,77,"foi sim, é uma guerra dos poderes, STF não pode legislar 🤷"
90,78,PEC de cu e' rola. \n\nSangue de Jesus neles
90,79,Esse cara joga xadrez.
90,80,"Isso quem fez foi o legislativo, que a direita tem mais representatividade nesse governo"
